Data_Centres,City,Longitude,Latitude
3,Ahmedabad,72.571400000000040,23.022500000000036
34,Mumbai,72.877700000000061,19.076000000000022
1,Vikhroli,72.925098000000048,19.108343300000058
1,Mumba,73.000206900000080,19.175665800000047
1,Pimpri-Chinchwad,73.728885000000048,18.591821000000039
1,Nashik,73.743526786631804,19.995515832126500
9,Pune,73.856700000000046,18.520400000000052
1,Jaipur,75.894262800000035,27.042079400000034
1,Cherthala,76.337002100000063,9.601028100000065
11,New Dehli,77.102500000000077,28.704100000000039
13,Bangalore,77.594600000000071,12.971600000000024
11,Hyderabad,78.486700000000042,17.385000000000048
13,Chennai,80.270700000000033,13.082700000000045
1,Bhubaneswar,85.833286100000066,20.296976500000028
3,Kolkata,88.363900000000058,22.572600000000023
